# (GeV)(GeV) (pb)
Mass  colorons2
  1000.0   0.3174E+02
  1100.0   0.2118E+02
  1200.0   0.1451E+02
  1300.0   0.1016E+02
  1400.0   0.7249E+01
  1500.0   0.5251E+01
  1600.0   0.3862E+01
  1700.0   0.2874E+01
  1800.0   0.2160E+01
  1900.0   0.1638E+01
  2000.0   0.1252E+01
  2100.0   0.9652E+00
  2200.0   0.7484E+00
  2300.0   0.5836E+00
  2400.0   0.4572E+00
  2500.0   0.3598E+00
  2600.0   0.2836E+00
  2700.0   0.2244E+00
  2800.0   0.1781E+00
  2900.0   0.1417E+00
  3000.0   0.1131E+00
  3100.0   0.9058E-01
  3200.0   0.7271E-01
  3300.0   0.5846E-01
  3400.0   0.4709E-01
  3500.0   0.3798E-01
  3600.0   0.3066E-01
  3700.0   0.2478E-01
  3800.0   0.2005E-01
  3900.0   0.1623E-01
  4000.0   0.1315E-01
  4100.0   0.1064E-01
  4200.0   0.8611E-02
  4300.0   0.6971E-02
  4400.0   0.5643E-02
  4500.0   0.4569E-02
  4600.0   0.3705E-02
  4700.0   0.3003E-02
  4800.0   0.2433E-02
  4900.0   0.1971E-02
  5000.0   0.1595E-02
  5100.0   0.1290E-02
  5200.0   0.1042E-02
  5300.0   0.8413E-03
  5400.0   0.6784E-03
  5500.0   0.5464E-03
  5600.0   0.4394E-03
  5700.0   0.3528E-03
  5800.0   0.2829E-03
  5900.0   0.2264E-03
  6000.0   0.1809E-03
  6100.0   0.1444E-03
  6200.0   0.1151E-03
  6300.0   0.9152E-04
  6400.0   0.7259E-04
  6500.0   0.5743E-04
  6600.0   0.4524E-04
  6700.0   0.3554E-04
  6800.0   0.2784E-04
  6900.0   0.2174E-04
  7000.0   0.1692E-04
  7100.0   0.1315E-04
  7200.0   0.1018E-04
  7300.0   0.7856E-05
  7400.0   0.6040E-05
  7500.0   0.4626E-05
  7600.0   0.3523E-05
  7700.0   0.2673E-05
  7800.0   0.2020E-05
  7900.0   0.1520E-05
  8000.0   0.1139E-05
  8100.0   0.8500E-06
  8200.0   0.6319E-06
  8300.0   0.4678E-06
  8400.0   0.3449E-06
  8500.0   0.2534E-06
  8600.0   0.1854E-06
  8700.0   0.1352E-06
  8800.0   0.9828E-07
  8900.0   0.7118E-07
  9000.0   0.5145E-07
